Time (TU),X (LU),Y (LU),Z (LU),VX (LU/TU),VY (LU/TU),VZ (LU/TU)
0,0.8274566656628295,-4.058380342466766e-29,1.1487659602732903e-32,2.091731968634825e-15,0.08536326354608484,-1.1019648281896518e-32
0.00425402750193033,0.8274572915352907,0.000363131937790174,1.1440302798248596e-32,0.0002942458818425741,0.08535922057493786,-1.1244653063021267e-32
0.013163203527640045,0.8274626575589333,0.0011234841693719163,1.1338033607171803e-32,0.0009102974887157866,0.08532455632512252,-1.1712817905220922e-32
0.022073725731511663,0.8274735119028216,0.001883484418341801,1.1231596001668726e-32,0.0015258737705786374,0.0852544314879063,-1.2176773227375813e-32
0.030983719397165585,0.8274898462620907,0.0026426569483781258,1.112105066914651e-32,0.0021404609378763754,0.08514888690989753,-1.2636257410088948e-32
0.03989037715788391,0.8275116417359414,0.003400447856835503,1.1006475403540238e-32,0.0027534828320521843,0.08500802545818073,-1.3090966716182918e-32
0.04879092209257175,0.8275388692563361,0.004156308398280399,1.0887954059662691e-32,0.0033643690450103456,0.08483200933959721,-1.354060661039095e-32
0.05768264119879889,0.8275714898949491,0.0049096989078036505,1.0765575858187457e-32,0.00397255867696941,0.08462105824918448,-1.398489388249086e-32
0.06656291644602573,0.8276094553082476,0.005660092443642254,1.0639434627293551e-32,0.004577503830125566,0.08437544666534545,-1.4423558509393414e-32
0.07542925368542093,0.8276527083081778,0.006406978149580179,1.0509627989172154e-32,0.005178672827722539,0.08409550036770916,-1.4856345266976894e-32
0.08427930602448544,0.8277011835252546,0.007149864032780162,1.0376256554781556e-32,0.00577555290481472,0.08378159238645005,-1.5283014927450746e-32
0.09311089285276632,0.8277548081432808,0.007888279247163475,1.02394231297565e-32,0.0063676524384696795,0.08343413851102187,-1.5703345113348887e-32
0.10192201400095406,0.8278135026786605,0.008621775833617253,1.0099231957194973e-32,0.006954502675676788,0.08305359252664675,-1.6117130796995114e-32
0.11071085896078209,0.8278771817783523,0.009349929911913656,9.955788016727376e-33,0.007535658955146876,0.08264044134016148,-1.6524184460062866e-32
0.1194758112902287,0.8279457550122469,0.010072342341133553,9.809196395305027e-33,0.008110701439270656,0.08219520014618964,-1.692433593979266e-32
0.12821544924129874,0.8280191276449598,0.010788638944820218,9.65956172796111e-33,0.008679235437712943,0.08171840772563178,-1.7317432030926848e-32
0.1369285422466203,0.828097201364669,0.01149847028405914,9.506987727350316e-33,0.009240891315344247,0.08121062201722534,-1.7703335847249465e-32
